country,area
,
,
,
,
Barbados,431 square kilometres
Bangladesh,"144,000 square kilometres"
Bahrain,665 square kilometres
Bahamas,"13,940 square kilometres"
Azerbaijan,"86,600 square kilometres"
Austria,"83,858 square kilometres"
Australia,"7,686,850 square kilometres"
Aruba,193 square kilometres
Armenia,"29,800 square kilometres"
Argentina,"2,766,890 square kilometres"
Antigua and Barbuda,443 square kilometres
Antarctica,"14,000,000 square kilometres"
Anguilla,102 square kilometres
Angola,"1,246,700 square kilometres"
Andorra,468 square kilometres
American Samoa,199 square kilometres
Algeria,"2,381,740 square kilometres"
Albania,"28,748 square kilometres"
Aland Islands,"1,580 square kilometres"
Afghanistan,"647,500 square kilometres"
,
